URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59959,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:02,10 Sep 2023 14:04:03,10 Sep 2023 14:04:03,10 Sep 2023 14:04:03,632,1,112,345,50,1,123,41.31836,40.78125,24074.219,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/check/syncDataPage,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59962,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:27,10 Sep 2023 14:04:27,10 Sep 2023 14:04:27,10 Sep 2023 14:04:27,662,0,101,301,47,1,212,40.79785,49.45117,24684.57,1390,680,310,24599,0,678,,
https://servlet.ttlock.com/system/listAdvert,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59963,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:27,10 Sep 2023 14:04:28,10 Sep 2023 14:04:28,10 Sep 2023 14:04:28,512,2,96,301,0,2,111,52.158203,0.0,12343.262,1390,677,0,24599,0,680,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59964,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:27,10 Sep 2023 14:04:28,10 Sep 2023 14:04:28,10 Sep 2023 14:04:28,589,1,105,314,53,1,115,44.333984,38.472656,24074.219,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59965,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:29,10 Sep 2023 14:04:30,10 Sep 2023 14:04:30,10 Sep 2023 14:04:30,574,1,98,305,56,1,113,45.493164,36.411133,24074.219,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59966,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:29,10 Sep 2023 14:04:30,10 Sep 2023 14:04:30,10 Sep 2023 14:04:30,597,0,107,318,56,1,115,43.740234,36.411133,24074.219,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/check/syncDataPage,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59967,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:30,10 Sep 2023 14:04:31,10 Sep 2023 14:04:31,10 Sep 2023 14:04:31,593,0,93,287,88,1,124,45.5459,26.411133,24684.57,1390,680,310,24599,0,678,,
https://servlet.ttlock.com/system/listAdvert,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59968,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:31,10 Sep 2023 14:04:32,10 Sep 2023 14:04:32,10 Sep 2023 14:04:32,528,0,104,319,1,0,104,50.57715,2018.5547,0.0,1390,677,0,24599,0,680,,
https://servlet.ttlock.com/room/queryState,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59969,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:04:31,10 Sep 2023 14:04:32,10 Sep 2023 14:04:32,10 Sep 2023 14:04:32,565,0,98,302,56,0,109,46.217773,36.411133,0.0,1390,676,22,24599,0,53,,
https://servlet.ttlock.com/key/listUser,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59970,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:05:25,10 Sep 2023 14:05:25,10 Sep 2023 14:05:26,10 Sep 2023 14:05:26,787,1,120,336,75,2,253,33.833008,28.450195,12246.582,1390,674,121,24599,0,482,,
https://servlet.ttlock.com/key/send,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59971,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:05:54,10 Sep 2023 14:05:55,10 Sep 2023 14:05:55,10 Sep 2023 14:05:55,595,1,97,301,62,2,132,44.50586,35.879883,12128.418,1390,670,218,24599,0,240,,
https://servlet.ttlock.com/key/send,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59972,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:05:57,10 Sep 2023 14:05:58,10 Sep 2023 14:05:58,10 Sep 2023 14:05:58,650,1,101,314,55,1,178,40.461914,40.677734,24063.477,1390,670,231,24599,0,42,,
https://servlet.ttlock.com/key/getNotifyContent,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59973,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:00,10 Sep 2023 14:06:01,10 Sep 2023 14:06:01,10 Sep 2023 14:06:01,606,1,100,302,76,1,126,43.430664,27.060547,24262.695,1390,681,35,24599,0,246,,
https://servlet.ttlock.com/key/listUser,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59976,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:10,10 Sep 2023 14:06:10,10 Sep 2023 14:06:11,10 Sep 2023 14:06:11,846,1,103,314,58,2,368,31.987305,36.789062,12463.867,1390,674,121,24599,0,927,,
https://servlet.ttlock.com/key/listUser,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59977,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:12,10 Sep 2023 14:06:12,10 Sep 2023 14:06:12,10 Sep 2023 14:06:12,757,1,103,318,61,1,273,35.748047,34.979492,24927.734,1390,674,121,24599,0,927,,
https://servlet.ttlock.com/key/delete,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59978,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:15,10 Sep 2023 14:06:16,10 Sep 2023 14:06:16,10 Sep 2023 14:06:16,642,0,109,340,66,0,127,40.78418,31.457031,0.0,1390,671,65,24599,0,87,,
https://servlet.ttlock.com/key/listUser,COMPLETE,200,https,POST,application/json;charset=utf-8,/192.168.1.135,59979,servlet.ttlock.com/8.211.32.62,443,,10 Sep 2023 14:06:17,10 Sep 2023 14:06:18,10 Sep 2023 14:06:18,10 Sep 2023 14:06:18,783,1,105,379,50,0,248,34.00586,42.67578,0.0,1390,674,121,24599,0,482,,
